"ID";"FECHA";"REFERENCIA";"NOMBRE";"DEPARTAMENTO";"SUB1";"SUB2";"SUB3";"SUB4";"SUB5";"CANTIDAD";"TOTAL VENTA";"COSTOS"
"267032";"2018-01-06";"SWEE604";"BLUSA DM SWEET LIPS REF 6604";"1";"4";"29";"40";"0";"0";"1";"27000";"0"
"268992";"2018-01-12";"SWEE994";"SHORT DM MILITAR SWEET COUTURE REF SWJ7994";"1";"4";"32";"43";"0";"0";"1";"35000";"0"
"265512";"2018-01-02";"SWIM098";"FLOTADOR ARO REF JH16098";"2";"0";"0";"0";"0";"0";"1";"3900";"2750"
"265780";"2018-01-03";"SWIM098";"FLOTADOR ARO REF JH16098";"2";"0";"0";"0";"0";"0";"1";"3900";"2750"
"265708";"2018-01-02";"SWIM148";"CAPRI HOMBRE SWIMSUNIT  KIKES VARIAS REFERENCIAS";"1";"5";"42";"0";"0";"0";"1";"24900";"16700"
"267332";"2018-01-06";"SWIM188";"BOMBACHO DAMA SWIMSUIT REF 41188/41189";"1";"4";"0";"0";"0";"0";"1";"25900";"18617"
"265424";"2018-01-02";"SWIM375";"GAFAS ACUATICOS SWIM MASK";"2";"9";"68";"0";"0";"0";"1";"6900";"4500"
"265726";"2018-01-02";"SWIN162";"CAMIBUSO NINO";"1";"3";"19";"31";"0";"0";"1";"13500";"9500"
"265606";"2018-01-02";"SWIN801";"GAFA ACUATICA PQ";"2";"9";"0";"0";"0";"0";"1";"2900";"1660"
"268670";"2018-01-11";"TABL003";"TABLA PLANILLERA";"4";"17";"95";"0";"0";"0";"1";"3700";"2687.76"
"269111";"2018-01-12";"TABL003";"TABLA PLANILLERA";"4";"17";"95";"0";"0";"0";"1";"3700";"2687.76"
"265465";"2018-01-02";"TAIZ021";"PALILLERO DECORADO REF 2021";"2";"0";"0";"0";"0";"0";"2";"3800";"2332.88"
"266383";"2018-01-04";"TAIZ021";"PALILLERO DECORADO REF 2021";"2";"0";"0";"0";"0";"0";"1";"1900";"1166.44"
"267027";"2018-01-06";"TALC005";"TALCO YODORA X120 GRM";"5";"22";"0";"0";"0";"0";"1";"7300";"5856.74"
